sl_no,gender,ssc_p,ssc_b,puc_p,puc_b,puc,degree_p,Branch,workex,etest_p,specialisation,gate_p,status,salary
1,M,67,Others,91,rgukt,mpc,58,cse,No,55,ml,58.8,Placed,270000
2,M,79.33,Central,78.33,rgukt,mbipc,77.48,cse,Yes,86.5,web,66.28,Placed,200000
3,M,65,Central,68,rgukt,mbipc,64,cse,No,75,web,57.8,Placed,250000
4,M,56,Central,52,rgukt,mbipc,52,cse,No,66,ml,59.43,Not Placed,
5,M,85.8,Central,73.6,rgukt,mbipc,73.3,cse,No,96.8,ml,55.5,Placed,425000
6,M,55,Others,49.8,rgukt,mbipc,67.25,cse,Yes,55,web,51.58,Not Placed,
7,F,46,Others,49.2,rgukt,mbipc,79,cse,No,74.28,ml,53.29,Not Placed,
8,M,82,Central,64,rgukt,mpc,66,cse,Yes,67,ml,62.14,Placed,252000
9,M,73,Central,79,rgukt,mpc,72,cse,No,91.34,ml,61.29,Placed,231000
10,M,58,Central,70,rgukt,mpc,61,cse,No,54,ml,52.21,Not Placed,
11,M,58,Central,61,rgukt,mpc,60,cse,Yes,62,ml,60.85,Placed,260000
12,M,69.6,Central,68.4,rgukt,mpc,78.3,cse,Yes,60,web,63.7,Placed,250000
13,F,47,Central,55,rgukt,mpc,65,cse,No,62,ml,65.04,Not Placed,
14,F,77,Central,87,rgukt,mpc,59,cse,No,68,ml,68.63,Placed,218000
15,M,62,Central,47,rgukt,mpc,50,ece,No,76,ml,54.96,Not Placed,
16,F,65,Central,75,rgukt,mpc,69,ece,Yes,72,ml,64.66,Placed,200000
17,M,63,Central,66.2,rgukt,mpc,65.6,ece,Yes,60,ml,62.54,Placed,300000
18,F,55,Central,67,rgukt,mpc,64,ece,No,60,ml,67.28,Not Placed,
19,F,63,Central,66,rgukt,mpc,64,ece,No,68,ml,64.08,Not Placed,
20,M,60,Others,67,rgukt,mpc,70,ece,Yes,50.48,web,77.89,Placed,236000
21,M,62,Others,65,rgukt,mpc,66,ece,No,50,ml,56.7,Placed,265000
22,F,79,Others,76,rgukt,mpc,85,ece,No,95,ml,69.06,Placed,393000
23,F,69.8,Others,60.8,rgukt,mpc,72.23,ece,No,55.53,ml,68.81,Placed,360000
24,F,77.4,Others,60,rgukt,mpc,64.74,ece,Yes,92,ml,63.62,Placed,300000
25,M,76.5,Others,97.7,rgukt,mpc,78.86,ece,No,97.4,ml,74.01,Placed,360000
26,F,52.58,Others,54.6,rgukt,mbipc,50.2,ece,Yes,76,ml,65.33,Not Placed,
27,M,71,Others,79,rgukt,mbipc,66,ece,Yes,94,ml,57.55,Placed,240000
28,M,63,Others,67,rgukt,mbipc,66,ece,No,68,ml,57.69,Placed,265000
29,M,76.76,Others,76.5,rgukt,mbipc,67.5,eee,Yes,73.35,web,64.15,Placed,350000
30,M,62,Central,67,rgukt,mbipc,58,eee,No,77,web,51.29,Not Placed,
31,F,64,Central,73.5,rgukt,mbipc,73,eee,No,52,web,56.7,Placed,250000
32,F,67,Central,53,rgukt,mbipc,65,eee,No,64,web,58.32,Not Placed,
33,F,61,Central,81,rgukt,mbipc,66.4,eee,No,50.89,web,62.21,Placed,278000
34,F,87,Others,65,rgukt,mbipc,81,eee,Yes,88,web,72.78,Placed,260000
35,M,62,Others,51,rgukt,mbipc,52,eee,No,68.44,web,62.77,Not Placed,
36,F,69,Central,78,rgukt,mbipc,72,eee,No,71,web,62.74,Placed,300000
37,M,51,Central,44,rgukt,mpc,57,eee,No,64,ml,51.45,Not Placed,
38,F,79,Central,76,rgukt,mpc,65.6,eee,No,58,web,55.47,Placed,320000
39,F,73,Others,58,rgukt,mpc,66,cse,No,53.7,web,56.86,Placed,240000
40,M,81,Others,68,rgukt,mpc,64,cse,No,93,web,62.56,Placed,411000
41,F,78,Central,77,rgukt,mpc,80,cse,No,60,web,66.72,Placed,287000
42,F,74,Others,63.16,rgukt,mpc,65,cse,Yes,65,web,69.76,Not Placed,
43,M,49,Others,39,rgukt,mpc,65,cse,No,63,ml,51.21,Not Placed,
44,M,87,Others,87,rgukt,mpc,68,cse,No,95,ml,62.9,Placed,300000
45,F,77,Others,73,rgukt,mpc,81,cse,Yes,89,web,69.7,Placed,200000
46,F,76,Central,64,rgukt,mpc,72,cse,No,58,web,66.53,Not Placed,
47,F,70.89,Others,71.98,rgukt,mpc,65.6,cse,No,68,web,71.63,Not Placed,
48,M,63,Central,60,rgukt,mpc,57,cse,Yes,78,web,54.55,Placed,204000
49,M,63,Others,62,rgukt,mpc,68,cse,No,64,web,62.46,Placed,250000
50,F,50,Others,37,rgukt,mpc,52,cse,No,65,web,56.11,Not Placed,
51,F,75.2,Central,73.2,rgukt,mpc,68.4,cse,No,65,web,62.98,Placed,200000
52,M,54.4,Central,61.12,rgukt,mpc,56.2,cse,No,67,web,62.65,Not Placed,
53,F,40.89,Others,45.83,rgukt,mpc,53,cse,No,71.2,web,65.49,Not Placed,
54,M,80,Others,70,rgukt,mpc,72,cse,No,87,web,71.04,Placed,450000
55,F,74,Central,60,rgukt,mpc,69,cse,No,78,web,65.56,Placed,216000
